"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0042060","wound healing",184,0.481771771443656,2.09116779500663,4.23413009617572e-09,1.79050482837274e-06,1.59542396953614e-06,1046,"tags=40%, list=19%, signal=33%","710/26509/977/10855/6915/10398/5321/6714/340205/3690/80739/5359/3315/160851/7414/1026/375033/5154/5265/196527/3572/2207/64805/3693/3717/840/5592/3688/6403/1432/2815/2039/5291/51510/2149/5196/22915/83706/64581/7006/79602/57175/2778/5795/2624/4638/7035/5747/55207/239/7094/5580/2162/7099/7057/7040/3998/60/7494/80856/389/1608/3091/2923/51206/7168/90102/3611/57132/5341/81027/2876/7429"
"GO:0009617","response to bacterium",243,0.445193801195719,1.99265291024085,7.16163131035702e-09,2.28993161148666e-06,2.04043671017891e-06,886,"tags=32%, list=16%, signal=28%","4317/115362/2633/6279/306/115361/2634/6280/4353/3934/6283/6915/26253/6714/114769/249/9636/3105/1439/5836/3106/58484/837/2635/55122/100133941/8970/3133/51257/8349/8339/22904/654/351/2207/2643/4938/3717/11213/840/51316/6403/1432/3512/602/4940/129607/51510/2149/10561/836/3684/5196/4939/3500/7292/8346/5197/84166/8754/4069/79792/7096/5580/4793/7099/89857/834/2879/85236/7494/2289/567/2353/3032/55603/8344/4292"
"GO:0007596","blood coagulation",107,0.548817446298337,2.19333320226189,2.30858754952841e-08,6.81388494426194e-06,6.07149179017675e-06,980,"tags=45%, list=18%, signal=37%","710/10855/6915/10398/5321/6714/340205/3690/80739/5359/3315/160851/7414/375033/5154/5265/196527/3572/2207/64805/3717/5592/6403/1432/2815/5291/2149/5196/22915/83706/7006/2778/5795/7035/239/7094/5580/2162/7099/7057/3998/60/80856/1608/2923/51206/3611/5341"
"GO:0030098","lymphocyte differentiation",205,-0.40043644192749,-1.96338192131201,4.17299197204617e-08,1.1436978711958e-05,1.01908856580496e-05,931,"tags=32%, list=17%, signal=27%","5591/5771/7157/6598/4775/55619/596/6929/2874/4297/6647/55636/3122/10524/3398/359948/9734/30009/5295/1499/6775/7163/27086/114548/25/23228/84766/1540/10320/114836/6602/84433/4976/7001/64421/678/3662/399/472/3507/22806/10892/6095/3932/10193/3707/9840/3394/2309/3956/7535/10125/6935/3702/5079/914/64919/115352/25793/29760/931/6932/51176/916/3575"
"GO:0006954","inflammatory response",311,0.407074602804871,1.86476116470805,5.73236189745309e-08,1.4663381733685e-05,1.30657624160896e-05,902,"tags=29%, list=17%, signal=26%","4317/115362/2633/6279/2215/712/2634/6280/6283/6915/9021/23780/9447/1191/3429/6714/114769/84632/653361/3430/5359/2146/9111/58484/837/2635/3133/5265/196527/3572/22904/654/351/2212/83700/2214/23765/3717/3554/2357/3688/6403/1432/6774/3098/79651/2149/5663/836/3684/5196/9240/120892/11315/25921/6352/3500/64581/7292/3459/3579/5197/8773/4069/2778/8530/79792/5423/7096/150372/5580/4793/7099/57142/834/55331/6737/7057/7040/1326/7525/3428/5045/5610/2353/80833/3091/57724/90139/7305"
"GO:0016072","rRNA metabolic process",120,-0.463704906751143,-2.07750721439978,8.34668183162863e-08,2.00163863674744e-05,1.78355411770591e-05,1663,"tags=56%, list=31%, signal=40%","27043/65095/51602/10528/88745/2976/8602/2971/23160/57050/55003/5036/8780/153443/25879/27340/6597/162989/79066/55226/23560/23076/115752/11103/51082/79954/6949/84549/51504/4691/5591/7157/6598/57602/4609/9277/4931/9221/79002/55636/57647/10412/55661/51441/9775/84172/55646/161424/8850/2074/25926/51575/9790/10199/10885/23481/84365/57109/11137/55720/29997/5394/25983/54680/2091/117246/284119"
"GO:0033077","T cell differentiation in thymus",41,-0.640392554966234,-2.34414328571811,1.89757934438785e-07,4.18171576447274e-05,3.72610531885038e-05,931,"tags=44%, list=17%, signal=37%","5591/5771/7157/4775/596/6647/1499/25/84433/678/3707/9840/7535/10125/6935/64919/916/3575"
"GO:0031347","regulation of defense response",356,0.383063395985649,1.77949721236935,1.96171185198096e-07,4.18171576447274e-05,3.72610531885038e-05,795,"tags=24%, list=15%, signal=22%","4317/115362/710/2633/6279/2634/6772/6280/6283/9021/10622/26253/9447/6714/114769/653361/3430/83666/92610/342510/9636/57590/5359/3105/3659/3106/9111/58484/2219/837/2635/55122/10906/3133/80216/4332/3572/22904/351/6773/4938/23765/5371/3717/54502/80212/11213/84243/3554/91543/151636/3916/1432/6774/10875/4940/79651/836/7706/120892/11315/25921/6352/64581/7292/84166/3665/2778/8530/79792/1374/7096/5580/7099/57142/834/10346/6737/7040/1326/22978/10666/7525/3428/5045"
"GO:0009611","response to wounding",225,0.429335132223125,1.89554781859781,2.37424911417762e-07,4.79473360584185e-05,4.27233303204926e-05,1046,"tags=36%, list=19%, signal=30%","710/26509/977/10855/6915/10398/5321/6714/340205/3690/80739/5359/3315/160851/7414/1026/375033/5154/5265/196527/3572/2207/64805/3480/3693/3717/29956/840/5592/3688/6403/1432/6774/2815/2039/5291/51510/2149/836/5196/22915/83706/64581/7006/79602/57175/2778/4131/5795/2624/4638/7035/5747/55207/239/7094/5580/2162/7099/7057/7040/3998/60/7494/80856/389/1608/3091/7305/2923/51206/7168/90102/706/3611/57132/5341/81027/2876/5905/7429"
"GO:0046649","lymphocyte activation",384,-0.319457678441704,-1.67751719627212,3.07956262282377e-07,5.9081408918874e-05,5.26443126259558e-05,728,"tags=22%, list=13%, signal=21%","5290/6647/7133/56941/55636/3122/10524/3398/359948/9734/30009/5295/1499/6775/7163/5813/27086/114548/3958/25/23228/3119/84766/1540/10320/4818/114836/6602/84433/11331/4976/7001/3615/64421/8451/678/3662/3117/399/472/63925/57705/960/23075/55024/3507/22806/28639/10892/919/23149/197358/868/202309/6095/3932/10193/196/3707/9840/3394/374403/2309/3956/7535/10125/25853/6935/3702/5079/914/64919/115352/933/28638/25793/29760/931/3481/6932/23495/51176/28755/916/3575"
