"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000165416",-0.0433690210567885,6.06981578946686,-0.381300864259324,0.704225477825701,0.849714325002647,-6.11341540759086
"ENSG00000013306",-0.160526994282315,6.80053013935434,-0.631081873118649,0.530203346486786,0.733692616626876,-6.11452702439059
"ENSG00000090013",-0.0519023312736921,5.77780471906537,-0.248434414037297,0.804582759484274,0.905841984971533,-6.11502880557269
"ENSG00000123472",-0.00839229031006283,5.78331742054484,-0.0607953767024487,0.951709004948365,0.976940765145199,-6.11503672251453
"ENSG00000065883",-0.0707299857245749,6.75059723140149,-0.600118328630719,0.550517157519866,0.745990126402338,-6.11605120598872
"ENSG00000149269",0.0766236008294205,7.17527968648593,0.692359328056246,0.491181613400202,0.704417255783255,-6.11613171117689
"ENSG00000124357",-0.0698262495497595,6.42909716725282,-0.522328717730697,0.603219907051976,0.781989598662414,-6.11614159068262
"ENSG00000127870",0.0701221321146024,7.0168020092537,0.628495582661733,0.531885073594219,0.734879776593616,-6.11653010871526
"ENSG00000065135",0.0626251094598631,7.11304922918885,0.671509389802514,0.504279359351578,0.712557235176549,-6.11668701659619
"ENSG00000163820",0.0344595026431804,5.87759404887868,0.211746423763216,0.832968436620596,0.920676007853318,-6.11679121341858
"ENSG00000104823",-0.0291851570371549,5.70918447387942,-0.19059197168078,0.849440223959247,0.930388086073578,-6.11688877433799
"ENSG00000110696",-0.0745893227765224,8.05681789256625,-0.789108598401816,0.432921908712042,0.660151011443192,-6.1169773338641
"ENSG00000132589",0.097802146006897,7.82298872540362,0.771626599663023,0.443136189095773,0.669985486030621,-6.11700695643361
"ENSG00000167470",-0.0779505029761856,7.11327432044628,-0.681372525136413,0.49806002823017,0.709030001095874,-6.11709397068947
"ENSG00000131196",-0.0353958109761932,5.82710335545996,-0.214594213801042,0.830756569899665,0.919802505633456,-6.11746169470987
"ENSG00000141030",-0.00841797679582168,5.77926453893031,-0.056880839522435,0.954814880234784,0.978339565077883,-6.11776271602453
"ENSG00000168734",0.0517277214465004,6.02756755903521,0.281970292621574,0.778863506216792,0.892239806457612,-6.1180368651551
"ENSG00000151923",0.00541737301229972,5.66974224854565,0.0373843891546478,0.970293276052979,0.985120717095905,-6.1182656156354
"ENSG00000144909",0.0235385397221686,5.71920715895756,0.127499630477087,0.898939202611662,0.953711511072865,-6.11833680785761
"ENSG00000078747",0.0610846293554728,7.46640461969463,0.714910342775152,0.47722832819465,0.694872152036842,-6.11861055868868
"ENSG00000213625",0.152580919108756,6.86792033459362,0.576824021848249,0.566053801685146,0.758637419823044,-6.1187637147178
"ENSG00000113648",0.0693542137378484,7.29676753997999,0.699180293724957,0.486937675844295,0.701886235018864,-6.11902417384873
"ENSG00000134779",-0.019864042239063,5.88266955759618,-0.158730145354986,0.874374393468475,0.942960707708182,-6.11927159012943
"ENSG00000168329",0.0684580156873222,6.0289740975378,0.352000300410827,0.725978460173946,0.862310282833286,-6.11955888436354
"ENSG00000130770",0.0658055049662778,7.09756934025662,0.65958081833282,0.511856729612453,0.71827327187189,-6.12076270687933
"ENSG00000011405",0.0660369390942899,6.78788697045777,0.584782811801893,0.560721354227862,0.753158268696596,-6.12119400576595
"ENSG00000149930",-0.0328038677004336,5.87044141545588,-0.215686570513386,0.829908503866484,0.919802505633456,-6.12120129184874
"ENSG00000134215",0.0548844390604053,6.29726963064022,0.428111589182068,0.669987286985421,0.827474590675836,-6.1215185507742
"ENSG00000134250",-0.0137016166061974,5.73858634205553,-0.0683263114953673,0.945735956706174,0.973908960088966,-6.12183236021771
"ENSG00000100351",0.186383939151099,10.1691925943182,0.834440805691641,0.407093673301991,0.643488374808417,-6.12195708425177
"ENSG00000086589",-0.0298497433860998,5.86973941922437,-0.262739875026299,0.793583356454732,0.900295376442128,-6.12196125572412
"ENSG00000116539",0.0740470068447472,8.42276619945989,0.803964153369152,0.424352758328176,0.653440878284879,-6.12207735736205
"ENSG00000184182",0.0543018944633937,6.1515879381913,0.299757257214217,0.765320291141132,0.883958695002254,-6.12220658216552
"ENSG00000126461",-0.0541451954218575,6.16882336092401,-0.425219198387032,0.672083526519943,0.829334326722683,-6.12229582530967
